StationCode,SampleTime,SampleID,Category_Final,PlasticType_Final,Color_Final,Treatment,SampleDate,SampleTypeCode,MatrixName,MethodName,AnalyteName,LabSampleID,Length.mm,Width.mm,Raman.ID,Remove_Flag,ScreenSize,Volume.L
CCCSD,A,20170907MMP-Eff-CCCSD-125,Fiber,Unknown,blue,Secondary,2017-09-07,Field,Effluent,Raman,Unknown Fiber,59,0.24,0.025,poor signal,Count,125,3244.09637
CCCSD,A,20170907MMP-Eff-CCCSD-125,Fragment,Polyethylene,blue,Secondary,2017-09-07,Field,Effluent,Raman,Polyethylene Fragment,48,0.377,0.181,polyethylene,Count,125,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Fiber,,dark blue,Secondary,2017-09-07,Field,Effluent,,,184,2.102,0.012,,Count,355,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Foam,Anthropogenic (synthetic),white,Secondary,2017-09-07,Field,effluent,FTIR,Anthropogenic (synthetic) Foam,15,0.723,0.7,calcium stearate,Count,355,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Fiber,,black,Secondary,2017-09-07,Field,Effluent,,,163,1.87,0.014,,Count,355,3244.09637
CCCSD,A,20170907MMP-Eff-CCCSD-125,Fiber,Anthropogenic (cellulosic),blue,Secondary,2017-09-07,Field,Effluent,Raman,Anthropogenic (cellulosic) Fiber,64,1.985,0.021,indigo + cellulose,Count,125,3244.09637
CCCSD,A,20170907MMP-Eff-CCCSD-125,Sphere,Polyethylene,gray,Secondary,2017-09-07,Field,Effluent,Raman,Polyethylene Sphere,14,0.16,0.159,HDPE,Count,125,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Fragment,Polyethylene,clear,Secondary,2017-09-07,Field,Effluent,Raman,Polyethylene Fragment,20,0.659,0.575,PE,Count,355,3244.09637
CCCSD,A,20170907MMP-Eff-CCCSD-125,Foam,Anthropogenic (synthetic),white,Secondary,2017-09-07,Field,Effluent,Raman,Anthropogenic (synthetic) Foam,2,0.213,0.199,"PVC additive, impact modifier",Count,125,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Fragment,,clear,Secondary,2017-09-07,Field,Effluent,,,52,0.683,0.274,,Count,355,3244.09637
