No,Direc.,Polymer,Shape,a  [mm],b  [mm],c  [mm],Density  [g/cm³],dequi [m],CSF,Powers ,Kin.  viscosity  [m²/s],1.1,1.2,2.1,2.2,3.1,3.2,Mean  Velocity 
47,rising,PE,Film,7.48,7.16,2.62,0.6724,0.0013,0.0102,2.8,1.00E-06,0.18,0.35,0.14,0.31,0.18,0.15,0.22
48,rising,PE,Film,11.67,9.37,0.08,0.6,0.0037,0.1127,3.5,1.00E-06,12.96,13.21,6.52,7.55,6.56,7.29,9.02
51,settling,PE,Film,5.58,3.73,0.05,1.0256,0.0012,0.0081,2.1,1.00E-06,0.35,0.24,0.33,0.4,0.34,0.3,0.33
52,rising,PP,Fragment,15.51,4.49,2.33,0.903,0.0042,0.2882,4.6,1.00E-06,5,5.11,5.24,5,4.93,4.73,5
53,rising,other,Fragment,15.47,3.54,3.41,0.9162,0.007,0.5158,5.3,1.00E-06,7.14,6.95,6.58,6.58,5.88,6.21,6.56
54,rising,PE,Pellet,7.41,6.94,2.27,0.9162,0.0035,0.5239,5.8,1.00E-06,4.98,4.73,3.66,3.82,4.75,4.52,4.41
55,rising,PP,Pellet,4.79,4.27,1.41,0.903,0.0038,0.6566,5.5,1.00E-06,8.17,7.98,8.43,8.9,8.11,8.08,8.28
57,settling,PVC,Film,4.12,3.11,2.04,1.0084,0.0018,0.0061,4.9,1.00E-06,0.84,1.08,0.93,1,0.91,0.84,0.93
58,rising,PE,Film,19.56,16.59,15.91,0.814,0.001,0.011,2.7,1.00E-06,0.15,0.38,0.17,0.28,0.2,0.31,0.25
60,rising,PP,Fragment,19.59,14.75,0.07,0.903,0.0035,0.3587,2,1.00E-06,3.61,3.6,3.78,3.64,3.47,3.36,3.58
61,rising,PE,Pellet,24.46,11.42,0.08,0.9162,0.0039,0.9205,5.8,1.00E-06,6.77,6.84,5.85,5.79,5.95,6.14,6.22
62,rising,PP,Fragment,24.32,6.71,1.88,0.8706,0.0034,0.201,5.2,1.00E-06,3.83,3.38,3.9,4.19,3.76,3.61,3.78
63,rising,PE,Pellet,5.14,4.73,2.65,0.8706,0.0035,0.7678,5.7,1.00E-06,5.21,4.92,6.4,6.75,6.21,6.44,5.99
65,rising,PE,Fragment,16.73,9.43,2.78,0.9162,0.0027,0.4316,1.9,1.00E-06,7.24,7.64,7.64,8.11,5.93,6.6,7.19
67,rising,PE,Film,8.48,4.86,0.75,0.9162,0.001,0.0027,5.2,1.00E-06,0.22,0.28,0.2,0.18,0.13,0.06,0.18
68,rising,PE,Fragment,6.23,4.61,1.11,0.983,0.0035,0.1099,4.7,1.00E-06,0.95,0.94,0.96,1.01,0.98,1.01,0.98
69,settling,PE,Film,6.27,4.42,0.04,1.075,0.0011,0.0071,4.3,1.00E-06,0.44,0.46,0.48,0.44,0.47,0.52,0.47
70,rising,PP,Foam,16.11,10.51,3.51,0.5,0.0026,0.4373,5.1,1.00E-06,15.44,16.03,15.44,15.33,16.03,16.67,15.82
71,rising,PP,Pellet,8.26,6.59,1.18,0.8102,0.0035,0.7983,5.2,1.00E-06,7.45,7.39,7.75,7.66,7.64,7.34,7.54
72,settling,PE,Fragment,6.36,5.33,1.17,1.008,0.0013,0.0556,4,1.00E-06,0.18,0.12,0.35,0.2,0.28,0.15,0.21
75,settling,PE,Fragment,4.25,3.38,2.91,1.008,0.0009,0.0943,3.4,1.00E-06,0.25,0.24,0.5,0.41,0.19,0.19,0.3
77,rising,EPS,Foam,3.97,3.23,1.98,0.02,0.0029,0.1967,5,1.00E-06,10.24,10.19,10.45,10.99,9.72,9.95,10.26
79,rising,EPS,Foam,4.11,3.38,1.82,0.02,0.0025,0.3056,3.7,1.00E-06,20.79,21.43,16.8,17.21,21,21.88,19.85
81,rising,EPS,Foam,7.55,5.34,1.83,0.02,0.0032,0.0792,5.1,1.00E-06,6.05,6.21,6.25,6.65,5.59,4.87,5.94
84,rising,PP,Fragment,4.72,4.02,2.86,0.905,0.0032,0.2408,4.6,1.00E-06,3.29,3.43,4.09,4.17,4.06,4.08,3.85
85,settling,PET,Fragment,10.45,2.33,1.77,1.008,0.0053,0.1147,5.1,1.00E-06,0.55,0.49,0.93,0.81,0.92,0.8,0.75
86,rising,PS,Foam,6.37,4.03,1.22,0.5,0.0048,0.3498,5.1,1.00E-06,8.68,8.71,8.54,8.68,8.33,8.68,8.6
