StationCode,Watershed,SampleID,SizeFraction_AW,SampleGross_AW,SampleType_AW,Number,LabSampleID,Length.mm,Width.mm,PlasticType_Final,Category_Final,Color_Final,Raman.ID,Remove_Flag
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1794,87,0.464,0.352,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1834,127,0.573,0.121,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1800,93,0.664,0.455,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1768,61,2.232,0.016,,Fiber,Dark Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1836,129,0.16,0.092,Polyethylene,Fragment,Clear,PVC additive,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1828,121,0.974,0.018,,Fiber,Dark Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1784,77,1.421,0.025,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1708,1,1.496,0.021,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1852,145,0.265,0.124,Rubber,Fragment,Black,Ivory Black,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1833,126,1.083,0.012,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1736,29,2.857,0.014,,Fiber,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1714,7,1.946,0.011,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1753,46,3.604,0.014,Anthropogenic (synthetic),Fiber,Blue,Indigo carmine + Tetraethylsilane (composite),Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1727,20,0.821,0.021,Anthropogenic (synthetic),Fiber,Dark Blue,Indigo carmine + Tetraethylsilane (composite),Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1778,71,0.771,0.009,,Fiber,Dark Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1732,25,0.829,0.013,,Fiber,Dark Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1846,139,0.501,0.076,Rubber,Fragment,Black,Ivory Black,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1814,107,0.499,0.258,Rubber,Fragment,Black,Ivory Black,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1838,131,0.267,0.155,Anthropogenic (unknown base),Foam,White,Rutile + Carbon (composite),Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1787,80,3.895,0.023,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1831,124,0.393,0.378,Poly(Aryletherketone),Film,Black,Titanium Oxide or p-(Aryletherketone) (likely both),Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1771,64,0.484,0.403,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1754,47,1.136,0.017,,Fiber,Brown,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1721,14,1.007,0.021,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1856,149,0.137,0.085,,Fragment,Red,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1870,163,1.579,0.028,Rubber,Fragment,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1847,140,0.985,0.022,,Fiber,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1792,85,0.322,0.018,,Fiber,Dark Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1850,143,0.275,0.142,Rubber,Fragment,Black,Ivory Black,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1709,2,1.211,0.019,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1781,74,1.048,0.02,,Fiber,Dark Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1716,9,0.402,0.033,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1841,134,0.117,0.097,Polypropylene,Fragment,Red,PP9 + Toluidine Red (composite),Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1863,156,0.508,0.014,Cellulosic,Fiber,Clear,Cellulose,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1772,65,0.951,0.012,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1745,38,0.856,0.027,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1817,110,0.949,0.069,Anthropogenic (unknown base),Fragment,Blue,Amdio Black 10B + Cobalt phthalocyanine (composite),Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1719,12,2.135,0.02,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1824,117,0.24,0.985,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1738,31,2.273,0.011,Cellulose acetate,Fiber,Brown,Remazol Blue 3R + Cellulose acetate sorbate (composite),Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1755,48,1.769,0.034,,Fiber,Grey,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1741,34,2.884,0.011,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1876,169,0.418,0.012,,Fiber,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1857,150,0.826,0.025,Polyester,Fiber,Dark Blue,4-Nitrocatechol + Polyester (composite),Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1775,68,2.812,0.018,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1782,75,1.007,0.013,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1762,55,0.618,0.012,,Fiber,Grey,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1888,,,,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1795,88,0.479,0.271,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1826,119,1.005,0.023,,Fiber,Purple,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1742,35,1.283,0.965,,Fragment,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1791,84,1.926,0.024,Cellulose acetate,Fiber,Orange,Cellulose acetate sorbate,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1756,49,2.273,0.01,,Fiber,Grey,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1830,123,0.306,0.141,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1789,82,0.786,0.015,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1861,154,0.732,0.016,,Fiber,Dark Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1844,137,1.503,0.029,,Fiber,White,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1858,151,0.829,0.015,,Fiber,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1733,26,0.572,0.016,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1813,106,0.848,0.394,Unknown,Fragment,Black,Carbon Black,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1802,95,2.142,0.014,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1854,147,0.368,0.202,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1821,114,1.044,0.012,,Fiber,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1743,36,1.245,0.017,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1860,153,6.086,0.015,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1751,44,1.716,0.109,,Fiber,Grey,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1793,86,4.074,0.021,,Fiber,Green,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1723,16,2.544,0.021,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1746,39,0.529,0.528,,Fragment,White,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1761,54,0.256,0.013,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1867,160,0.212,0.187,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1879,172,0.17,0.161,,Fragment,Red,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1884,177,0.426,0.237,,Fragment,Silver,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1712,5,0.853,0.011,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1853,146,1.75,0.13,Polyacrylamide,Fragment,Red,Boron Nitride + p-(Acrylamide) (composite),Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1729,22,15.491,0.02,,Fiber,Grey,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1780,73,0.534,0.219,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1769,62,1.511,0.034,,Fiber,Grey,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1859,152,0.93,0.015,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1797,90,0.69,0.022,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1777,70,2.875,0.032,,Fiber,Brown,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1726,19,1.993,0.016,,Fiber,Grey,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1747,40,1.502,0.008,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1766,59,0.936,0.523,Rubber,Fragment,Black,Ivory Black,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1849,142,1.134,0.143,Unknown,Fragment,Black,burns,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1820,113,0.934,0.024,,Fiber,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1874,167,0.589,0.26,Rubber,Fragment,Black,Carbon Black,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1881,174,0.437,0.202,,Fragment,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1788,81,0.785,0.02,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1737,30,0.386,0.02,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1815,108,0.655,0.41,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1832,125,0.498,0.321,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1740,33,0.863,0.01,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1865,158,0.206,0.19,Anthropogenic (unknown base),Fragment,Gold,Sirius Light Olive Green GL,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1752,45,0.402,0.017,,Fiber,Dark Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1734,27,3.733,0.017,Organic natural material,Fiber,Clear,Mucopolysaccarides,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1773,66,0.868,0.363,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1717,10,2.476,0.015,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1710,3,1.695,0.014,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1713,6,1.575,0.011,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1877,170,0.343,0.264,,Fragment,Gold,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1767,60,1.888,0.562,Polyethylene,Fragment,Pink,HDPE,Count
Line 12J at mouth to 12K,Line 12J,125uM-17-POC-130,125um-355um,Field,Field,2246,358,0.299,0.121,Rubber,Fragment,Black,,Count
Line 12J at mouth to 12K,Line 12J,125uM-17-POC-130,125um-355um,Field,Field,2388,500,0,0,,Fiber,White,,Count
Line 12J at mouth to 12K,Line 12J,125uM-17-POC-130,125um-355um,Field,Field,2120,232,0.578,0.08,Rubber,Fragment,Black,,Count
Line 12J at mouth to 12K,Line 12J,125uM-17-POC-130,125um-355um,Field,Field,2414,526,0.567,0.014,,Fiber,Dark Blue,,Count
Line 12J at mouth to 12K,Line 12J,125uM-17-POC-130,125um-355um,Field,Field,1999,111,0.384,0.018,,Fiber,Clear,,Count
Line 12J at mouth to 12K,Line 12J,125uM-17-POC-130,125um-355um,Field,Field,2131,243,0.32,0.156,Rubber,Fragment,Black,,Count
Line 12J at mouth to 12K,Line 12J,125uM-17-POC-130,125um-355um,Field,Field,2054,166,0.386,0.254,Rubber,Fragment,Black,Amido Black 10B (poor match),Count
