SampleID,volume_l,area_m2,count_preblank,lat,lon,SampleDate,Season,SampleType,count,part_per_m3,part_per_m2,x,y
SB13-Manta-23Aug2017,106680.724817125,1122.954998075,360,37.55744744416667,-122.20029837499999,2017-08-23,Dry,Trawl,326.5,3.0605341364121323,0.29075074295915254,570632.0924123265,4157015.218381247
SB13-Manta-BLANK-23Aug2017,0.0,0.0,53,37.55744744416667,-122.20029837499999,2017-08-23,Dry,FieldBlank,19.5,inf,inf,570632.0924123265,4157015.218381247
SFBay9-18-Manta-18Sept2017,95427.73349503349,1004.5024578424599,42,,,2017-09-18,Dry,Trawl,8.5,0.08907263841116356,0.008461900649060522,,
SPB2-Manta-16Nov2017,125002.264106414,1315.81330638331,323,38.044599165,-122.424675425,2017-11-16,Wet,Trawl,289.5,2.31595805139617,0.2200160148826354,550481.5601760965,4210919.60674512
SPB2-Manta-21Aug2017,108929.454331254,1146.6258350658402,94,38.044599165,-122.424675425,2017-08-21,Dry,Trawl,60.5,0.5554053343186661,0.05276350676027288,550481.5601760965,4210919.60674512
SPB3-Manta-17Nov17,149338.064741665,1571.9796288596299,212,38.1856775,-122.34751915000001,2017-11-17,Wet,Trawl,178.5,1.195274629470934,0.11355108979973887,557141.6296888303,4226617.798559743
SPB3-Manta-21Aug2017,185691.487025487,1954.6472318472302,767,38.1856775,-122.34751915000001,2017-08-21,Dry,Trawl,733.5,3.950100307502647,0.37525952921275174,557141.6296888303,4226617.798559743
SPB3-Manta-Blank-21Aug2017,0.0,0.0,69,38.1856775,-122.34751915000001,2017-08-21,Dry,FieldBlank,35.5,inf,inf,557141.6296888303,4226617.798559743
SUB1-Manta-17Nov17,127543.764499115,1342.56594209594,18,38.102041667499996,-122.06010624999999,2017-11-17,Wet,Trawl,0.0,0.0,0.0,582406.5760194766,4217553.953346454
SUB1-Manta-21Aug2017,142901.777288827,1504.22923461923,12,38.102041667499996,-122.06010624999999,2017-08-21,Dry,Trawl,0.0,0.0,0.0,582406.5760194766,4217553.953346454
